"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","TEST REQRES POST","User Login","0","0","2","0","0"
"","TEST REQRES GET","Get Resource Details","0","0","2","0","0"
"","TEST REQRES POST","User Registration","0","0","2","0","0"
"","TEST REQRES GET","Delayed Response","0","0","1","0","0"
"","TEST REQRES GET","Get Resource List","0","0","1","0","0"
"","TEST REQRES GET","Get Users","0","0","1","0","0"
"","TEST REQRES GET","Get User Details","0","0","2","0","0"
"","TEST REQRES POST","User Creation","0","0","1","0","0"
"","TEST REQRES DELETE","User Deletion","0","0","1","0","0"
"","TEST REQRES UPDATE","User Update","0","0","2","0","0"
